出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","4","2880","華南金","49164202.00","122085753.00","44612847.00","86877259.00","6132.00","610822.00","48505696.00","2022777.00","--","1406686928.00","2563184.00","310957337.00","75532.00","--","44373098.00","7517333.00","32173716.00","403916.00","2347229.00","3744810.00","2164728571.00","131875899.00","--","20794876.00","86820.00","24494364.00","5456332.00","29717876.00","2194257.00","--","1737742713.00","41541653.00","938000.00","--","15560087.00","8664716.00","6101863.00","3898365.00","2029067821.00","90562816.00","17758986.00","29482953.00","-2145471.00","--","--","135659284.00","1466.00","135660750.00","0.00","0.00","14.98"
"114/03/26","102","4","2881","富邦金","194224779.00","104504015.00","93717804.00","1631464808.00","517817.00","72391296.00","145015571.00","950196.00","--","1352883952.00","14033829.00","216982867.00","5133579.00","--","571464921.00","88287548.00","34003921.00","13454750.00","6728774.00","24786415.00","4570546842.00","91718827.00","--","43000297.00","1872070.00","48188694.00","4724342.00","77844483.00","5951820.00","--","1504452622.00","114003337.00","35000.00","--","2160927865.00","182285637.00","2474686.00","16387266.00","4253866946.00","102336040.00","74446982.00","110424390.00","29250223.00","0.00","--","316457635.00","222261.00","316679896.00","0.00","0.00","30.92"
"114/03/26","102","4","2882","國泰金","331666078.00","151945066.00","244023246.00","1357106776.00","1300914.00","12960817.00","169590966.00","5585301.00","68479.00","1667391682.00","5740684.00","54970153.00","3153320.00","--","1724797817.00","191023573.00","104306810.00","9223432.00","15038697.00","26963277.00","6076857088.00","56985225.00","1497500.00","28754621.00","5148.00","60931600.00","10050000.00","37548440.00","37003.00","--","1585031001.00","92417213.00","--","--","3477440832.00","413414217.00","12771382.00","14712855.00","5791597037.00","119649621.00","89063184.00","52283098.00","20083810.00","0.00","--","281079713.00","4180338.00","285260051.00","0.00","0.00","23.49"
"114/03/26","102","4","2883","凱基金","20195997.00","39581124.00","98297280.00","116258949.00","19568.00","20925493.00","125689985.00","755965.00","--","106857949.00","--","--","7286276.00","21726120.00","61379462.00","1830198.00","9087419.00","6277179.00","869150.00","10904908.00","647943022.00","6711620.00","--","22577982.00","64315.00","111975004.00","10116225.00","57673578.00","2388951.00","--","114808892.00","37068437.00","18687012.00","--","1140616.00","82559726.00","1353240.00","11714770.00","478840368.00","150308833.00","535087.00","14656447.00","-670876.00","-2170286.00","0.00","162659205.00","6443449.00","169102654.00","0.00","302586000.00","11.04"
"114/03/26","102","4","2884","玉山金","21344052.00","57907807.00","283646429.00","72049774.00","0.00","0.00","62895383.00","563776.00","0.00","828238170.00","0.00","8593699.00","0.00","0.00","17578354.00","544587.00","19373142.00","5513344.00","343935.00","2444147.00","1381036599.00","47645621.00","--","12264067.00","0.00","6254291.00","1981970.00","19045582.00","505654.00","--","1150790905.00","53800000.00","268092.00","--","400265.00","2392644.00","745760.00","1586425.00","1297681276.00","55243000.00","14497390.00","12093934.00","816635.00","0.00","0.00","82650959.00","704364.00","83355323.00","0.00","0.00","14.96"
"114/03/26","102","4","2885","元大金","27229111.00","85619265.00","91573183.00","43612700.00","--","250724.00","98302239.00","1239819.00","1309054.00","397268743.00","--","7204646.00","805483.00","152682.00","60446473.00","4222882.00","12417996.00","25497006.00","1064109.00","6877941.00","865094056.00","13072480.00","--","29582483.00","--","23440116.00","8509446.00","63540151.00","4593107.00","0.00","470505829.00","31002148.00","1106179.00","--","2157166.00","41772374.00","1020822.00","13159292.00","703461593.00","98937235.00","33634947.00","22685193.00","3153871.00","0.00","--","158411246.00","3221217.00","161632463.00","0.00","0.00","16.01"
"114/03/26","102","4","2886","兆豐金","367990287.00","183257144.00","195800759.00","272943633.00","--","2585345.00","184587941.00","921969.00","2576.00","1654577193.00","3293937.00","184411233.00","2697551.00","--","23430204.00","2059428.00","22150245.00","318046.00","3785582.00","8810740.00","3113623813.00","490935730.00","32330245.00","14856685.00","--","219651334.00","4393653.00","66105983.00","5522518.00","--","1933722541.00","55898677.00","5509213.00","--","22414786.00","10094610.00","2051201.00","8544561.00","2872031737.00","124498240.00","55271623.00","61534835.00","100838.00","0.00","--","241405536.00","186540.00","241592076.00","0.00","0.00","19.39"
"114/03/26","102","4","2887","台新金","61516953.00","124152449.00","102817889.00","251947289.00","62494.00","9470428.00","107590190.00","1759870.00","--","1845715026.00","--","228942921.00","221229.00","--","47507842.00","11808520.00","41530667.00","21563628.00","7809571.00","6569720.00","2870986686.00","176662165.00","--","16237369.00","--","37932722.00","0.00","46370940.00","4248028.00","--","2250576346.00","90322818.00","2287315.00","--","4422703.00","32803503.00","6711208.00","4422327.00","2672997444.00","82548070.00","9478327.00","18160507.00","944683.00","--","--","111131587.00","86857655.00","197989242.00","16505200.00","0.00","13.47"
"114/03/26","102","4","2888","新光金","43625253.00","120850612.00","91899916.00","357586019.00","--","3329957.00","65175198.00","3920628.00","3594919.00","656347501.00","--","306547795.00","95083.00","--","693767677.00","122990613.00","24687516.00","3166948.00","15097729.00","22550037.00","2535233401.00","4152993.00","--","9932689.00","--","21850128.00","7597049.00","32967106.00","160365.00","--","573445108.00","32902418.00","8279012.00","1654000.00","1613402731.00","95602452.00","3890087.00","14595395.00","2420431533.00","93288169.00","9180681.00","31034630.00","-32555630.00","--","--","100947850.00","13854018.00","114801868.00","0.00","0.00","10.82"
"114/03/26","102","4","2889","國票金","1722845.00","1430095.00","114875387.00","71719506.00","--","259760.00","18741587.00","650383.00","--","--","--","--","1486552.00","--","4146544.00","0.00","1977964.00","569974.00","55224.00","1355902.00","218991723.00","--","15541346.00","375055.00","--","154234922.00","4592818.00","8820872.00","73083.00","--","--","--","--","--","1427401.00","1362844.00","37894.00","227269.00","186693504.00","26280696.00","7544.00","2311382.00","211851.00","-485234.00","--","28326239.00","3971980.00","32298219.00","0.00","50000000.00","10.99"
"114/03/26","102","4","2890","永豐金","36440618.00","61147642.00","54465034.00","63585375.00","0.00","2657521.00","151101164.00","410105.00","--","808203611.00","--","214417922.00","82919.00","--","42099521.00","1745539.00","13999490.00","3040540.00","2717761.00","9830188.00","1465944950.00","87589163.00","--","14071567.00","6095.00","20098747.00","18300839.00","34183173.00","1055619.00","--","1086645403.00","45087336.00","20342470.00","18437.00","3176495.00","18125304.00","1239503.00","7497900.00","1357438051.00","82077358.00","1524439.00","22775362.00","2069841.00","0.00","--","108447000.00","59899.00","108506899.00","0.00","0.00","13.21"
"114/03/26","102","4","2891","中信金","115161162.00","125125631.00","83369629.00","428929904.00","910113.00","8836019.00","172454597.00","1449398.00","6323343.00","1284855302.00","1081880.00","79304809.00","2076772.00","--","39787544.00","2631895.00","38347727.00","13948040.00","6699337.00","13426977.00","2424720079.00","48409512.00","8167850.00","28364068.00","255112.00","64795548.00","199985.00","50417748.00","2354133.00","--","1725348933.00","70269949.00","--","--","194870475.00","25748327.00","329664.00","12342446.00","2231873750.00","147129560.00","23845094.00","30511606.00","-8716664.00","--","--","192769596.00","76733.00","192846329.00","0.00","0.00","13.10"
"114/03/26","102","4","2892","第一金","56683394.00","162586971.00","46428396.00","97397287.00","--","3469271.00","69439025.00","2294922.00","--","1431075270.00","4690.00","304110961.00","1819442.00","--","44970823.00","8790550.00","28464750.00","345807.00","1665697.00","3838096.00","2263385352.00","141375782.00","69243.00","15013079.00","7973.00","14215809.00","5791670.00","63210669.00","2302121.00","--","1731889637.00","49700000.00","2718078.00","--","19756790.00","66717864.00","5763392.00","3647092.00","2122179199.00","86535092.00","18200167.00","31842177.00","4151813.00","--","--","140729249.00","476904.00","141206153.00","0.00","0.00","16.26"
"114/03/26","102","4","5880","合庫金","40655599.00","708509511.00","56218820.00","115688301.00","--","417288.00","25289967.00","1626802.00","--","1905442305.00","1057.00","10565019.00","106127.00","--","159529468.00","2750709.00","38909695.00","3801728.00","1129579.00","2434725.00","3073076700.00","245541110.00","--","2307488.00","--","50441240.00","7120706.00","39756520.00","328318.00","--","2338512889.00","97880000.00","150000.00","--","66060582.00","67710055.00","3489088.00","1412651.00","2920710647.00","86142667.00","56125224.00","7371713.00","-333858.00","0.00","--","149305746.00","3060307.00","152366053.00","0.00","0.00","17.33"
