出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","103","1","2880","華南金","47493131.00","149545945.00","49398938.00","87603497.00","6283.00","518154.00","48078401.00","2060395.00","--","1420981877.00","2726303.00","271294793.00","75222.00","--","47827485.00","7796805.00","32179892.00","410603.00","2485416.00","3767356.00","2174250496.00","122106147.00","--","20565330.00","74638.00","25459563.00","6417139.00","31458334.00","2691305.00","--","1742806561.00","45841968.00","880000.00","--","15954130.00","11999581.00","6104073.00","2990010.00","2035348779.00","90562816.00","17758986.00","32501119.00","-1922674.00","--","--","138900247.00","1470.00","138901717.00","0.00","0.00","0.00","15.34"
"114/03/26","103","1","2881","富邦金","151967521.00","159756752.00","107574978.00","1739313582.00","501804.00","65690478.00","166125479.00","1898844.00","--","1545857444.00","13568253.00","237949101.00","5342577.00","--","617724997.00","88005785.00","42041456.00","30647467.00","4618825.00","35927499.00","5014512842.00","113358016.00","--","58645985.00","1720854.00","72417723.00","3524341.00","96485221.00","5442906.00","--","1748047115.00","119208369.00","300000.00","--","2234737928.00","186877925.00","5506993.00","12774631.00","4659048007.00","102336040.00","74446982.00","124290013.00","47000281.00","0.00","--","348073316.00","7391519.00","355464835.00","0.00","0.00","0.00","34.01"
"114/03/26","103","1","2882","國泰金","419927339.00","136763894.00","242154421.00","1346438280.00","1241132.00","19654926.00","157195422.00","6056424.00","0.00","1729891326.00","6121332.00","59421462.00","3160550.00","--","1786930321.00","309921710.00","93716487.00","9240347.00","14409702.00","30884614.00","6373129689.00","68976603.00","1525500.00","25329193.00","0.00","64936638.00","10990000.00","51241386.00","37003.00","--","1608618909.00","92513375.00","--","--","3545438970.00","459714320.00","17904123.00","31142653.00","5978368673.00","119649621.00","89063184.00","148810589.00","32919061.00","0.00","0.00","390442455.00","4318561.00","394761016.00","0.00","0.00","0.00","32.63"
"114/03/26","103","1","2883","凱基金","34211246.00","45683335.00","115438561.00","112659345.00","1425.00","20309767.00","132363271.00","745383.00","--","113618525.00","--","--","7729543.00","22323760.00","82311822.00","1822118.00","9080317.00","6135352.00","814721.00","10665909.00","715914400.00","9527458.00","--","24693405.00","53297.00","127543612.00","17898220.00","57120347.00","2349103.00","--","151009930.00","34586157.00","19817004.00","--","1138470.00","88303593.00","1201151.00","8107113.00","543348860.00","150369666.00","528030.00","17345037.00","3086.00","-2170286.00","--","166075533.00","6490007.00","172565540.00","0.00","0.00","302586000.00","11.27"
"114/03/26","103","1","2884","玉山金","20372848.00","59550503.00","304559565.00","78531653.00","--","0.00","61686742.00","566194.00","--","849111003.00","--","8341983.00","--","--","46694911.00","446579.00","19717476.00","5548230.00","243534.00","3703052.00","1459074273.00","69926199.00","--","14986333.00","--","9470017.00","3331686.00","20437161.00","1050288.00","--","1187067511.00","56300000.00","365724.00","--","400667.00","3767400.00","773847.00","1448646.00","1369325479.00","57633794.00","15509980.00","14952392.00","937516.00","--","--","89033682.00","715112.00","89748794.00","0.00","0.00","0.00","15.45"
"114/03/26","103","1","2885","元大金","26702618.00","95977734.00","108540464.00","97959482.00","--","202883.00","105492575.00","1454503.00","1282960.00","407171270.00","474358.00","34125031.00","794325.00","153183.00","70661634.00","4435779.00","12178828.00","25377551.00","1903228.00","9473620.00","1004362026.00","13189992.00","--","32824212.00","--","32089897.00","17846526.00","58225401.00","4517068.00","--","500432571.00","31032463.00","1950252.00","--","92809292.00","41925962.00","1340325.00","10390292.00","838574253.00","98937235.00","33634947.00","26292764.00","3571658.00","0.00","--","162436604.00","3351169.00","165787773.00","0.00","0.00","0.00","16.42"
"114/03/26","103","1","2886","兆豐金","335470200.00","200624590.00","171631541.00","279259657.00","--","4999898.00","192484042.00","1054167.00","2636.00","1676473655.00","3406909.00","182148942.00","2738229.00","--","23874201.00","2316858.00","22073126.00","290650.00","3675863.00","5474997.00","3108000161.00","454796269.00","39520263.00","13392511.00","--","213505058.00","6402777.00","66942173.00","6165448.00","--","1951001552.00","54800000.00","7240301.00","--","22861881.00","10908961.00","2068215.00","7521400.00","2857126809.00","124498240.00","55271623.00","69577414.00","1331214.00","0.00","--","250678491.00","194861.00","250873352.00","0.00","0.00","0.00","20.14"
"114/03/26","103","1","2887","台新金","56896180.00","131776393.00","107600621.00","249108164.00","51396.00","4287435.00","102561716.00","1666652.00","--","1922855355.00","--","182950862.00","84340.00","--","90816264.00","11766507.00","41680022.00","21976403.00","7827986.00","17514463.00","2951420759.00","190153959.00","--","27336808.00","--","43136083.00","269553.00","48240389.00","4966653.00","--","2276269314.00","90306757.00","2871286.00","--","4455401.00","44332548.00","7127608.00","4882676.00","2744349035.00","84112903.00","9609921.00","22984259.00","977573.00","--","--","117684656.00","89387068.00","207071724.00","0.00","132178420.00","0.00","14.03"
"114/03/26","103","1","2888","新光金","43130365.00","120376735.00","94184195.00","349441616.00","--","6043689.00","81385200.00","4373122.00","3594919.00","678387961.00","--","327434497.00","353574.00","--","707434508.00","122867370.00","24743118.00","3177183.00","15133589.00","29521226.00","2611582867.00","7290949.00","--","16583042.00","--","28018942.00","9546480.00","37834369.00","266546.00","--","593301196.00","32921112.00","5611362.00","0.00","1650846484.00","99394607.00","3894049.00","11417863.00","2496927001.00","93288169.00","9180681.00","32217276.00","-34128143.00","--","--","100557983.00","14097883.00","114655866.00","0.00","0.00","0.00","10.78"
"114/03/26","103","1","2889","國票金","1841951.00","200004.00","100406693.00","77043547.00","--","249967.00","19019429.00","736354.00","--","--","--","--","1513349.00","--","4215625.00","--","1963501.00","567103.00","54907.00","1095665.00","208908095.00","--","22330722.00","287863.00","--","136592009.00","5724639.00","7877210.00","153562.00","--","--","--","--","--","1279065.00","1395581.00","37921.00","214393.00","175892965.00","26280696.00","7544.00","2843185.00","252785.00","-485234.00","--","28898976.00","4116154.00","33015130.00","0.00","0.00","50000000.00","11.21"
"114/03/26","103","1","2890","永豐金","42037081.00","91081891.00","74671097.00","64781038.00","0.00","10022675.00","164378586.00","222193.00","--","798423486.00","--","190029975.00","508204.00","--","72030880.00","1742743.00","13957508.00","3028347.00","2592040.00","17229181.00","1546736925.00","92681005.00","--","23410162.00","11713.00","19647493.00","28737646.00","31864517.00","2082258.00","--","1136662264.00","43487847.00","18501256.00","18437.00","3197507.00","21659134.00","1323748.00","12062067.00","1435347054.00","82077358.00","1524439.00","25730705.00","1997547.00","--","--","111330049.00","59822.00","111389871.00","0.00","0.00","0.00","13.56"
"114/03/26","103","1","2891","中信金","136259523.00","141146830.00","82811658.00","430223123.00","751270.00","4834491.00","163172146.00","1619041.00","6323343.00","1329964503.00","891110.00","91935793.00","2077828.00","--","97492848.00","6407182.00","36379928.00","14677070.00","6826537.00","19725466.00","2573519690.00","44948021.00","8480300.00","40788412.00","164444.00","71541616.00","499942.00","54518641.00","3320381.00","--","1785230472.00","70373296.00","--","--","242694178.00","40636899.00","714707.00","6628041.00","2370539350.00","147129560.00","23845094.00","38307384.00","-6357330.00","-28703.00","--","202896005.00","84335.00","202980340.00","0.00","0.00","1457000.00","13.79"
"114/03/26","103","1","2892","第一金","73810917.00","169544017.00","55686104.00","92266303.00","0.00","4895982.00","57547472.00","2249886.00","--","1460970292.00","1839.00","292053009.00","2180552.00","--","52162750.00","8788050.00","28402073.00","381965.00","1624839.00","3883963.00","2306450013.00","166683968.00","565305.00","15747717.00","0.00","14796107.00","5285430.00","56842381.00","2614582.00","--","1747639554.00","46200000.00","2460061.00","--","19998811.00","72408450.00","5781755.00","3518792.00","2160542913.00","86535092.00","18200167.00","35501561.00","5194909.00","--","--","145431729.00","475371.00","145907100.00","0.00","0.00","0.00","16.81"
"114/03/26","103","1","5880","合庫金","39443208.00","709806241.00","58672919.00","115972527.00","--","1601368.00","25381055.00","1530730.00","--","1923737584.00","755.00","14241509.00","107701.00","--","175207551.00","2745234.00","39111250.00","3823241.00","1146013.00","2899975.00","3115428861.00","250684805.00","--","2570734.00","--","42790743.00","7765949.00","38583442.00","421700.00","--","2381519678.00","97880000.00","280000.00","--","64583776.00","68170233.00","3589777.00","1502916.00","2960343753.00","86142667.00","56125224.00","9804125.00","-77242.00","0.00","--","151994774.00","3090334.00","155085108.00","0.00","0.00","0.00","17.64"
